dt,ts,lat,lng,thoroughfare,place_name
2017-06-28,1498657279123,-8.094167,-34.885661,Avenida Engenheiro Domingos Ferreira,Nordeste Import
2017-06-21,1496351042538,-8.091411,-34.9089,"Av Pinheiros, 10",JAC Motors
2017-06-30,1498850436002,-8.070265,-34.912098,Rua Coronel Alfredo Duarte,Lucena Auto Service
2017-06-29,1498764375431,-8.018779,-34.892168,Rua José Fulgino de Melo,Paulo Peças 
2017-06-25,1498419846619,-8.085533,-34.905849,Avenida Sul Governador Cid Sampaio,Sport Car
2017-06-12,1497282678388,-8.055443,-34.897297,Avenida Governador Agamenon Magalhães,Mapfre Seguros
2017-06-21,1498069819249,-8.054144,-34.920219,Rua Gregório Júnior,Estoque Distribuidora Peças
2017-06-18,1497779924927,-8.039877,-34.892233,Rua Conselheiro Portela,America Veiculos Concessionaria Ford
2017-06-07,1496872682907,-8.059735,-34.898342,Rua Viscondessa do Livramento,Recife Motor
2017-06-24,1498227790320,-8.046472,-34.90671,"Rua Melquisedeque Lima, 3 em Torre",VK Distribuidora de Peças e Acessórios
2017-06-22,1498143406362,-8.089531,-34.884204,Rua Manoel Coriolano,Injesom Equipadora
2017-06-26,1498458154017,-8.06655,-34.881099,Rua da Palma,Tio Tonho Serviços e Auto Peças
2017-06-15,1497544212169,-8.088544,-34.907854,Avenida Marechal Mascarenhas de Morais,GranVia Ford
2017-06-11,1497145243571,-8.053564,-34.920058,Rua Gregório Júnior,Pra Fiat
2017-06-23,1498225328370,-8.102533,-34.911808,Rua Sítio Grande,Fiat Italiana - Recife
2017-06-15,1497494806312,-8.123318,-34.898678,Avenida Conselheiro Aguiar,Rio Auto Peças e Serviços
2017-06-27,1498606186686,-8.119524,-34.897878,Avenida Engenheiro Domingos Ferreira,Elo Representações
2017-06-21,1498062834117,-8.114601,-34.913908,Rua Jaçanã,Via Norte
2017-06-24,1497909133362,-8.037542,-34.914995,"Avenida 17 de Agosto, 688 em Casa Forte",Hyundai Caoa
2017-06-29,1498754262227,-8.061604,-34.906458,"Av. Abdias de Carvalho, 175",CarGlass
2017-06-05,1496701394109,-8.054132,-34.920252,"Rua Gregório Júnior, 330 em Zumbi",Estoque Distribuidora Peças
2017-06-29,1498727970216,-8.132171,-34.917904,Rua Desembarque Aeroporto,Pass Garagge
2017-06-13,1497385835629,-8.041318,-34.884948,Rua Cândido Lacerda,Via Norte Auto Peças
2017-06-17,1497740147474,-8.086139,-34.953634,Avenida Liberdade,Auto Peças Maranata
2017-06-13,1497396472241,-8.12665,-34.906744,Rua Coronel Anizío Rodrigues Coelho,Lava Jato K'Beer
2017-06-14,1497449713498,-8.043787,-34.903191,Rui Barbosa 1105,Toyolex
2017-06-14,1497481033420,-8.02047,-34.918196,Rua Japaratuba,Recon - Pecas
2017-06-14,1497406066802,-8.068436,-34.907831,Rua Bugre,Oficina do Ferreira
2017-06-19,1497889650613,-8.068396,-34.909696,Estrada do Bongi,Imbiribeira Veiculos
2017-06-29,1498585316298,-8.048671,-34.931194,"Rua Acapulco, 80 em Prado",Bateria de Carro 
2017-06-20,1497960820674,-8.122803,-34.904989,Rua Ribeiro de Brito,COFAP-Companhia Fabricadora Peças
2017-06-12,1497291796232,-8.038873,-34.87273,Rua Arlíndo Melo,Likinho Veículos
2017-06-09,1497028435064,-8.107903,-34.911495,Avenida Marechal Mascarenhas de Morais,Troller
2017-06-13,1497354485329,-8.09274,-34.908694,"Avenida Mascarenhas de Moraes, 1043 em Imbiribeira",Meira Lins - Concessionária Volkswagen
2017-06-22,1498153178909,-8.086636,-34.893774,Avenida República Árabe Unida,Recife Motor
2017-06-27,1498603235339,-8.022282,-34.891627,Rua Bom Conselho,Minha Moto
2017-06-28,1498663147909,-8.109871,-34.907423,Avenida General Mac Arthur,Acessoservice
2017-06-09,1496979517747,-8.135011,-34.937052,Avenida Governador Roberto Silveira,Ciclomania
2017-06-17,1497652041319,-8.062661,-34.913862,"Avenida Engenheiro  Abdias de Carvalho, 10792 em Cordeiro",Granvia Ford
2017-06-22,1498140860006,-8.050928,-34.895853,Rua Doutor Bandeira Filho,Paulo Peças 
2017-06-22,1498148047085,-8.11496,-34.90403,Rua Dom João VI,Borracharia Irmão Francisco
2017-06-13,1497385226235,-8.065323,-34.878255,Rua Estreita do Rosário,Moto Pecas Norte
2017-06-27,1498578469732,-8.132281,-34.918345,Aeroporto Internacional dos Guararapes,Pass Garagge
2017-06-12,1497311376300,-8.091068,-34.910346,Avenida Pinheiros,Troller
2017-06-16,1497617869380,-8.087995,-34.882935,Rua Carlos Líra Filho,Pit Stop
2017-06-22,1498134603072,-8.054784,-34.91268,PE-005,Fabio Pecas e Servic
2017-06-15,1497562025549,-8.046824,-34.891188,Avenida Governador Agamenon Magalhães,Via Norte Auto Peças
2017-06-13,1497388178809,-8.138823,-34.905937,Rua Izabel Magalhães,Recife Troca Lubrificantes
2017-06-18,1497755217279,-8.102831,-34.922867,Avenida Presidente Kenedy,Fabs Distribuidora de Peças e Assessorias
